Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 1839,https://www.congress.gov,116,Public Law,PL,Medicaid Services Investment and Accountability Act of 2019,,https://www.congress.gov/116/plaws/publ16/PLAW-116publ16.pdf
H.R. 1833,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 35 Tulip Avenue in Floral Park, New York, as the ""Lieutenant Michael R. Davidson Post Office Building"".",,https://www.congress.gov/116/plaws/publ196/PLAW-116publ196.pdf
H.R. 1830,https://www.congress.gov,116,Public Law,PL,National Purple Heart Hall of Honor Commemorative Coin Act,,https://www.congress.gov
H.R. 1812,https://www.congress.gov,116,Public Law,PL,Vet Center Eligibility Expansion Act,,https://www.congress.gov/116/plaws/publ176/PLAW-116publ176.pdf
H.R. 1773,https://www.congress.gov,116,Public Law,PL,Rosie the Riveter Congressional Gold Medal Act of 2019,,https://www.congress.gov/116/plaws/publ195/PLAW-116publ195.pdf
H.R. 1668,https://www.congress.gov,116,Public Law,PL,IoT Cybersecurity Improvement Act of 2020,,https://www.congress.gov/116/plaws/publ207/PLAW-116publ207.pdf
H.R. 1590,https://www.congress.gov,116,Public Law,PL,Terrorist and Foreign Fighter Travel Exercise Act of 2019,,https://www.congress.gov/116/plaws/publ64/PLAW-116publ64.pdf
H.R. 1569,https://www.congress.gov,116,Public Law,PL,"To amend title 28, United States Code, to add Flagstaff and Yuma to the list of locations in which court shall be held in the judicial district for the State of Arizona.",,https://www.congress.gov/116/plaws/publ40/PLAW-116publ40.pdf
H.R. 1526,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 200 Israel Road Southeast in Tumwater, Washington, as the ""Eva G. Hewitt Post Office"".",,https://www.congress.gov/116/plaws/publ82/PLAW-116publ82.pdf
H.R. 1520,https://www.congress.gov,116,Public Law,PL,"Further Extension of Continuing Appropriations Act, 2021",,https://www.congress.gov
H.R. 1449,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 3033 203rd Street in Olympia Fields, Illinois, as the ""Captain Robert L. Martin Post Office"".",,https://www.congress.gov/116/plaws/publ46/PLAW-116publ46.pdf
H.R. 1424,https://www.congress.gov,116,Public Law,PL,Fallen Warrior Battlefield Cross Memorial Act,,https://www.congress.gov/116/plaws/publ106/PLAW-116publ106.pdf
H.R. 1396,https://www.congress.gov,116,Public Law,PL,Hidden Figures Congressional Gold Medal Act,,https://www.congress.gov/116/plaws/publ68/PLAW-116publ68.pdf
H.R. 1365,https://www.congress.gov,116,Public Law,PL,To make technical corrections to the Guam World War II Loyalty Recognition Act.,,https://www.congress.gov/116/plaws/publ132/PLAW-116publ132.pdf
H.R. 1327,https://www.congress.gov,116,Public Law,PL,"Never Forget the Heroes: James Zadroga, Ray Pfeifer, and Luis Alvarez Permanent Authorization of the September 11th Victim Compensation Fund Act",,https://www.congress.gov/116/plaws/publ34/PLAW-116publ34.pdf
H.R. 1253,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 13507 Van Nuys Boulevard in Pacoima, California, as the ""Ritchie Valens Post Office Building"".",,https://www.congress.gov/116/plaws/publ81/PLAW-116publ81.pdf
H.R. 1252,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 6531 Van Nuys Boulevard in Van Nuys, California, as the ""Marilyn Monroe Post Office"".",,https://www.congress.gov/116/plaws/publ80/PLAW-116publ80.pdf
H.R. 1250,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 11158 Highway 146 North in Hardin, Texas, as the ""Lucas Lowe Memorial Post Office"".",,https://www.congress.gov/116/plaws/publ55/PLAW-116publ55.pdf
H.R. 1222,https://www.congress.gov,116,Public Law,PL,Target Practice and Marksmanship Training Support Act,,https://www.congress.gov/116/plaws/publ17/PLAW-116publ17.pdf
H.R. 1200,https://www.congress.gov,116,Public Law,PL,Veterans' Compensation Cost-of-Living Adjustment Act of 2019,,https://www.congress.gov/116/plaws/publ58/PLAW-116publ58.pdf
H.R. 1198,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 404 South Boulder Highway in Henderson, Nevada, as the ""Henderson Veterans Memorial Post Office Building"".",,https://www.congress.gov/116/plaws/publ45/PLAW-116publ45.pdf
H.R. 1158,https://www.congress.gov,116,Public Law,PL,"Consolidated Appropriations Act, 2020",,https://www.congress.gov/116/plaws/publ93/PLAW-116publ93.pdf
H.R. 1138,https://www.congress.gov,116,Public Law,PL,"To reauthorize the West Valley demonstration project, and for other purposes.",,https://www.congress.gov/116/plaws/publ95/PLAW-116publ95.pdf
H.R. 1123,https://www.congress.gov,116,Public Law,PL,Divisional Realignment for the Eastern District of Arkansas Act of 2019,,https://www.congress.gov/116/plaws/publ73/PLAW-116publ73.pdf
H.R. 1079,https://www.congress.gov,116,Public Law,PL,Creating Advanced Streamlined Electronic Services for Constituents Act of 2019,,https://www.congress.gov/116/plaws/publ50/PLAW-116publ50.pdf
H.R. 1058,https://www.congress.gov,116,Public Law,PL,"Autism Collaboration, Accountability, Research, Education, and Support Act of 2019",,https://www.congress.gov/116/plaws/publ60/PLAW-116publ60.pdf
H.R. 991,https://www.congress.gov,116,Public Law,PL,Extension of the Caribbean Basin Economic Recovery Act,,https://www.congress.gov/116/plaws/publ164/PLAW-116publ164.pdf
H.R. 943,https://www.congress.gov,116,Public Law,PL,Never Again Education Act,,https://www.congress.gov/116/plaws/publ141/PLAW-116publ141.pdf
H.R. 887,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 877 East 1200 South in Orem, Utah, as the ""Jerry C. Washburn Post Office Building"".",,https://www.congress.gov/116/plaws/publ79/PLAW-116publ79.pdf
H.R. 886,https://www.congress.gov,116,Public Law,PL,Veteran Treatment Court Coordination Act of 2019,,https://www.congress.gov/116/plaws/publ153/PLAW-116publ153.pdf
